Store Manager,User Name
14,julesd@ispartners.co.za
15,matthewk@ispartners.co.za
24,chrisob@ispartners.co.za
25,sanoran@contoso.com
35,dewaynez@contoso.com
36,rhettw@contoso.com
37,owenv@contoso.com
38,sigridh@contoso.com
39,augustusp@contoso.com
40,tyw@contoso.com
41,earnesth@contoso.com
42,nicholasw@contoso.com
43,dannieb@contoso.com
44,sallym@contoso.com
45,veronikah@contoso.com
46,alexanderk@contoso.com
47,briana@contoso.com
48,julianf@contoso.com
49,nathans@contoso.com
50,stewartn@contoso.com
51,warrenk@contoso.com
52,augustm@contoso.com
54,delindac@contoso.com
55,hoberty@contoso.com
56,hildad@contoso.com
57,faiths@contoso.com
58,lonn@contoso.com
59,dianah@contoso.com
60,valc@contoso.com
61,carolinew@contoso.com
62,hipolitob@contoso.com
63,bradleye@contoso.com
64,erich@contoso.com
65,septembert@contoso.com
66,cherilynf@contoso.com
67,shirleyp@contoso.com
68,samualk@contoso.com
69,marym@contoso.com
70,thomasm@contoso.com
71,bernadettef@contoso.com
72,orenj@contoso.com
73,septemberz@contoso.com
74,hipolitob@contoso.com
75,jennifferg@contoso.com
76,michealh@contoso.com
77,janej@contoso.com
79,lilym@contoso.com
80,zeldat@contoso.com
81,salomen@contoso.com
82,orenv@contoso.com
83,luciusn@contoso.com
84,maximop@contoso.com
85,sammyb@contoso.com
86,ardent@contoso.com
87,nealv@contoso.com
88,refugiaa@contoso.com
89,salomee@contoso.com
90,mariaj@contoso.com
91,dennyp@contoso.com
92,clayh@contoso.com
93,lew@contoso.com
94,emilyg@contoso.com
95,quinnd@contoso.com
96,cristag@contoso.com
97,cameronh@contoso.com
98,rosieg@contoso.com
99,rochelled@contoso.com
100,dannies@contoso.com
101,philb@contoso.com
102,pierss@contoso.com
103,vashtip@contoso.com
104,borisk@contoso.com
105,tobyj@contoso.com
106,irwing@contoso.com
107,zacherya@contoso.com
108,marniw@contoso.com
109,lindsayt@contoso.com
110,johns@contoso.com
111,rebap@contoso.com
112,blakem@contoso.com
113,merlinm@contoso.com
114,ryanc@contoso.com
115,luket@contoso.com
116,rexl@contoso.com
117,agustinaq@contoso.com
118,jarvisk@contoso.com
119,mariab@contoso.com
120,clairet@contoso.com
121,oliverm@contoso.com
123,evangelinep@contoso.com
124,ebonip@contoso.com
125,erick@contoso.com
126,jackg@contoso.com
127,aidet@contoso.com
128,felicityr@contoso.com
129,aronu@contoso.com
130,dannielleb@contoso.com
131,harrisons@contoso.com
132,veronicaa@contoso.com
133,kipd@contoso.com
134,rhettr@contoso.com
135,valk@contoso.com
136,erickah@contoso.com
137,brentp@contoso.com
138,francesl@contoso.com
139,aleaseb@contoso.com
140,deirdrel@contoso.com
141,annaa@contoso.com
142,gaynellm@contoso.com
143,penelopem@contoso.com
144,sebastianh@contoso.com
145,jerew@contoso.com
146,dalilal@contoso.com
147,quinnm@contoso.com
148,peterm@contoso.com
149,maribelj@contoso.com
150,sebastiann@contoso.com
151,rhettb@contoso.com
152,desiraeh@contoso.com
153,nigele@contoso.com
154,shonnab@contoso.com
155,jesusr@contoso.com
156,nathanc@contoso.com
157,sylviep@contoso.com
158,alanr@contoso.com
159,victorc@contoso.com
160,felicitys@contoso.com
161,keeleym@contoso.com
162,jacqulync@contoso.com
163,leonardc@contoso.com
164,dianeh@contoso.com
165,mandien@contoso.com
166,carll@contoso.com
167,jennifferp@contoso.com
168,nanniee@contoso.com
169,carolinef@contoso.com
170,clayt@contoso.com
171,tobyl@contoso.com
172,clayb@contoso.com
173,lloydw@contoso.com
174,bryanm@contoso.com
175,cherilynm@contoso.com
176,kylieg@contoso.com
177,deweyh@contoso.com
178,emilyc@contoso.com
179,piersm@contoso.com
180,theresah@contoso.com
181,adrienm@contoso.com
182,michaelb@contoso.com
183,leolaw@contoso.com
184,francesm@contoso.com
185,merlinw@contoso.com
186,yesseniaf@contoso.com
187,audryl@contoso.com
188,yesseniay@contoso.com
189,hankn@contoso.com
190,carolen@contoso.com
191,phillips@contoso.com
192,jamese@contoso.com
193,kathrined@contoso.com
194,timmyf@contoso.com
195,liviad@contoso.com
196,keithj@contoso.com
197,alexanderr@contoso.com
198,ginos@contoso.com
199,curtn@contoso.com
200,muik@contoso.com
201,deeannap@contoso.com
202,jamesi@contoso.com
203,jarvish@contoso.com
204,jasperd@contoso.com
205,rickiel@contoso.com
206,florancem@contoso.com
207,kareemm@contoso.com
208,williamb@contoso.com
209,cathleenb@contoso.com
210,cordiam@contoso.com
211,orenf@contoso.com
212,kasandrak@contoso.com
213,harrya@contoso.com
214,aminas@contoso.com
215,hanss@contoso.com
216,elizabethp@contoso.com
217,rosalvaw@contoso.com
218,quincyp@contoso.com
219,shirleyh@contoso.com
220,hildac@contoso.com
221,alvam@contoso.com
222,remonam@contoso.com
223,bernadettea@contoso.com
224,eldonh@contoso.com
225,jarredg@contoso.com
226,jarrettc@contoso.com
227,hipolitol@contoso.com
228,tiannar@contoso.com
229,kandacej@contoso.com
230,shaynek@contoso.com
231,yung@contoso.com
232,yung@contoso.com
233,latoyiaj@contoso.com
234,randyb@contoso.com
235,michellew@contoso.com
236,seani@contoso.com
237,jasonl@contoso.com
238,vernonf@contoso.com
239,nicolaa@contoso.com
240,michelleh@contoso.com
241,julieh@contoso.com
242,maximom@contoso.com
243,tamarr@contoso.com
244,audryf@contoso.com
245,monab@contoso.com
246,gabriellei@contoso.com
247,katherinep@contoso.com
248,aleasec@contoso.com
249,maribelk@contoso.com
250,ervinn@contoso.com
251,simona@contoso.com
252,jank@contoso.com
253,mertier@contoso.com
254,budc@contoso.com
255,zacheryb@contoso.com
256,gaynellg@contoso.com
257,johnr@contoso.com
258,milan@contoso.com
259,jamall@contoso.com
260,titusk@contoso.com
261,lynettej@contoso.com
262,jacks@contoso.com
263,ryans@contoso.com
264,friedau@contoso.com
265,juliab@contoso.com
266,veronikaq@contoso.com
267,iselam@contoso.com
268,sammyc@contoso.com
269,earnesto@contoso.com
270,nigelb@contoso.com
271,kevinr@contoso.com
272,gavinl@contoso.com
273,jenneferk@contoso.com
274,joanneb@contoso.com
275,jasperh@contoso.com
276,rosalindy@contoso.com
277,merlinz@contoso.com
278,borisl@contoso.com
279,mitchelp@contoso.com
281,neill@contoso.com
282,borisu@contoso.com
283,jackw@contoso.com
284,krisw@contoso.com
285,adolphc@contoso.com
286,sherriec@contoso.com
287,kelvinh@contoso.com
288,kimbere@contoso.com
289,georginat@contoso.com
290,porterw@contoso.com
291,chloen@contoso.com
292,darrickh@contoso.com
293,paulq@contoso.com
294,lukeh@contoso.com
295,maximos@contoso.com
296,thanht@contoso.com
